country	number of users
Brazil	50
Canada	21
Qatar	1
Italy	27
Czech Republic	47
Montenegro	1
Korea, Republic of	4
Lithuania	2
Costa Rica	19
Luxembourg	1
France	20
Namibia	1
Slovakia	23
Gibraltar	1
Ireland	4
Argentina	16
Venezuela	10
Thailand	1
Cook Islands	1
Bangladesh	3
Australia	5
Singapore	3
Norway	24
Jordan	1
Iran, Islamic Republic of	25
Antarctica	3
Slovenia	5
Germany	50
Bosnia and Herzegovina	2
Chile	48
Russian Federation	50
China	2
Hong Kong	2
Spain	18
Ukraine	30
India	1
Netherlands	11
Denmark	4
Poland	50
Indonesia	50
Macedonia	1
Turkey	38
United States	50
Belgium	5
Sweden	11
Belarus	23
Croatia	7
Mongolia	1
Finland	20
Hungary	3
Switzerland	1
Uruguay	8
New Zealand	5
Moldova	1
Ecuador	1
Bulgaria	1
Romania	2
Seychelles	1
Estonia	1
Portugal	12
Mexico	34
South Africa	3
Serbia	7
Peru	2
United Kingdom	50
Austria	7
Colombia	7
Greece	3
Paraguay	1
Japan	14
