user	artist	track	time
GunsofBrixton1	The Throne	Welcome to the Jungle	1354558472
GunsofBrixton1	Samiyam	Pressure	1354558083
GunsofBrixton1	Kooley High	The Love I Need	1354557626
GunsofBrixton1	Girl Talk	That's Right	1354524738
GunsofBrixton1	The xx	Angels	1354523769
GunsofBrixton1	J Dilla	Dilla Says Go	1354523406
GunsofBrixton1	Madvillain	Curls	1354522938
GunsofBrixton1	Gang Starr	New York Strait Talk	1354522838
GunsofBrixton1	The Pharcyde	Pharcyde	1354479210
GunsofBrixton1	MF DOOM	Potholderz feat. Count Bass D	1354478530
GunsofBrixton1	Jehst	Tempa Tempa With Verb T (Clean)	1354315200
GunsofBrixton1	King Geedorah	The Final Hour (Feat MF Doom)	1354313279
GunsofBrixton1	The Jimi Hendrix Experience	The Burning Of The Midnight Lamp (1967)	1354307645
GunsofBrixton1	Joey Bada$$	Killuminati (Feat. Capital STEEZ) [Prod. By Knxwledge]	1354304156
GunsofBrixton1	Flying Lotus	Tiny Tortures	1354301667
GunsofBrixton1	The Shins	So Says I	1354296839
GunsofBrixton1	The Beatles	Baby You're a Rich Man	1354263984
GunsofBrixton1	Chester P	Little Man	1354219338
GunsofBrixton1	LCD Soundsystem	Pow Pow	1354210365
GunsofBrixton1	Kanye West	Addiction	1354208491
GunsofBrixton1	Kings of Leon	Rememo	1354203830
GunsofBrixton1	The Clash	Clampdown	1354179488
GunsofBrixton1	Beirut	East Harlem	1354177894
GunsofBrixton1	Joy Division	New Dawn Fades	1354046621
GunsofBrixton1	Tame Impala	Why Won't You Make Up Your Mind?	1354035924
GunsofBrixton1	Gold Panda	Mayuri	1354034568
GunsofBrixton1	Fugees	Killing me softly	1354033324
GunsofBrixton1	Surfer Blood	Floating Vibes	1354031160
GunsofBrixton1	Bibio	Fire Ant	1354030765
GunsofBrixton1	Teams vs. Star Slinger	The Yes Strut	1354029789
GunsofBrixton1	Baths	Maximalist	1354028608
GunsofBrixton1	The Stone Roses	This Is the One	1354027955
GunsofBrixton1	Eminem	Cleanin Out My Closet	1354006651
GunsofBrixton1	Binary Star	I Know Why The Caged Bird Sings, Part II	1354006229
GunsofBrixton1	Fang Island	Treeton	1353852273
