name	country	age	gender	playcount	type
GunsofBrixton1	United Kingdom	0	m	6180	user
MasterHouze	Brazil	0	m	3682	user
aeyn	United States	0	f	36887	user
bobwalsh0410	United States	0	m	18192	user
barbett	Germany	0	m	37593	user
lesamants	Chile	0	f	9757	user
madmatt109	United States	0	m	2188	user
isacregon	Brazil	0	f	122115	user
BillyB51	United States	0	m	47621	user
LeftyFretz	United Kingdom	0	m	32823	user
czajnatee	Poland	0	m	53847	user
ngent	United Kingdom	0	m	4574	user
dollton	Japan	0	m	142490	user
kobranocka88	Poland	0	f	87523	user
jamalahmed	Russian Federation	0	n	2008	user
Dr-Strangelove-	Germany	0	m	25792	user
mcmatten	Germany	0	m	41216	user
Siper2k	Germany	0	m	11468	user
jgabur	Costa Rica	0	m	10024	user
ElectroSamurai	Ukraine	0	m	40008	user
RitaaC	Portugal	0	f	18501	user
OldMetalHeart	United States	0	f	21751	user
yurrocks	Brazil	0	m	62462	user
FuManDru	United Kingdom	0	m	85513	user
engel_dfr	Ukraine	0	f	45816	user
butcheee	Canada	0	m	39029	user
princessotw	United States	0	f	50655	user
ozcar_e	Venezuela	0	m	36692	user
Darkhymn	United States	0	m	62376	user
zicoay	Indonesia	0	m	2269	user
hedgecore87	United States	0	m	71240	user
DianWei	United Kingdom	0	n	31575	user
SeamusMeamus	United Kingdom	0	m	40344	user
vorke	Germany	0	m	40203	user
Brown_Vint	Ukraine	0	m	16708	user
curtametragem	Portugal	0	f	53989	user
Aramek	Poland	0	m	44915	user
Pablik213	Poland	0	m	1792	user
Soulstitia	France	0	f	43045	user
maksi893	Poland	0	m	48580	user
rafaelpadu	Brazil	0	m	48358	user
ordodraconis	Australia	0	m	32085	user
grzeit	Argentina	0	m	10057	user
hymengrinder	United Kingdom	0	f	9272	user
Guvinho	Brazil	0	m	30654	user
catchermelan	United States	0	n	65925	user
G-Ass-Nigga	United States	0	m	120378	user
Dinoo17	Poland	0	m	1608	user
ajleece	New Zealand	0	m	26906	user
moningstar	Ukraine	0	m	30290	user
beardhammer	United States	0	m	8745	user
baza92	Poland	0	m	61768	user
imbalon	Russian Federation	0	m	10110	user
gjbijzet	Netherlands	0	m	14526	user
hramat	Germany	0	n	124298	user
dawson1990	United Kingdom	0	m	17992	user
tilly_stratford	Norway	0	f	100030	user
bananaman229	Ukraine	0	m	14511	user
cjd33	Czech Republic	0	m	39681	user
deafbrat	Singapore	0	n	4102	user
